Groups,VF,acc,F1,MCC,alpha,best cv
control & euthymia,fcat,0.6923076923076923,0.8181818181818182,-0.18181818181818182,10.0,0.6464285714285714
mania & mixed mania,fcat,0.7,0.8235294117647058,0.0,10.0,0.6666666666666666
mania & mixed depression,fcat,0.45454545454545453,0.5714285714285714,-0.17857142857142858,1.0,0.7047619047619047
mania & depression,fcat,0.7272727272727273,0.8421052631578948,0.0,100.0,0.5142857142857142
mania & euthymia,fcat,0.5833333333333334,0.7368421052631579,0.0,100.0,0.5428571428571429
mixed mania & mixed depression,fcat,0.625,0.0,0.0,1.0,0.6100000000000001
mixed mania & depression,fcat,0.375,0.0,0.0,1.0,0.72
mixed mania & euthymia,fcat,0.625,0.4,0.3779644730092272,0.1,0.8
mixed depression & depression,fcat,0.6666666666666666,0.7272727272727272,0.31622776601683794,1.0,0.5933333333333333
mixed depression & euthymia,fcat,0.5,0.28571428571428575,0.0,1.0,0.72
depression & euthymia,fcat,0.2,0.33333333333333337,0.0,100.0,0.56
control & mania,flib,0.7857142857142857,0.7999999999999999,0.5773502691896257,0.1,0.7444444444444445
control & mixed mania,flib,0.7272727272727273,0.823529411764706,0.24056261216234406,1.0,0.7476190476190475
control & mixed depression,flib,0.5384615384615384,0.7000000000000001,0.0,100.0,0.65
control & depression,flib,0.9166666666666666,0.9333333333333333,0.8366600265340756,1.0,0.7214285714285714
control & euthymia,flib,0.6923076923076923,0.7999999999999999,0.17766726362967536,1.0,0.5857142857142857
mania & mixed mania,flib,0.7,0.8235294117647058,0.0,100.0,0.6666666666666666
mania & mixed depression,flib,0.45454545454545453,0.4,0.03857583749052298,1.0,0.5142857142857142
mania & depression,flib,0.5454545454545454,0.6153846153846154,0.14907119849998599,0.01,0.7095238095238094
mania & euthymia,flib,0.8333333333333334,0.8571428571428571,0.6571428571428571,0.01,0.6095238095238095
mixed mania & mixed depression,flib,0.625,0.0,0.0,100.0,0.61
mixed mania & depression,flib,0.375,0.0,0.0,10.0,0.77
mixed mania & euthymia,flib,0.5,0.0,0.0,100.0,0.67
mixed depression & depression,flib,0.8888888888888888,0.9090909090909091,0.7905694150420948,0.01,0.6733333333333333
mixed depression & euthymia,flib,0.5,0.6153846153846154,0.0,10.0,0.48666666666666664
depression & euthymia,flib,0.4,0.25,-0.10206207261596577,0.01,0.5933333333333334
control & mania,flit,0.6428571428571429,0.7058823529411764,0.31622776601683794,0.1,0.5916666666666667
control & mixed mania,flit,0.7272727272727273,0.8421052631578948,0.0,10.0,0.7190476190476189
control & mixed depression,flit,0.6153846153846154,0.7368421052631579,0.31180478223116176,10.0,0.65
control & depression,flit,0.5833333333333334,0.7368421052631579,0.0,100.0,0.6678571428571429
control & euthymia,flit,0.7692307692307693,0.8695652173913043,-0.12309149097933272,100.0,0.5285714285714286
mania & mixed mania,flit,0.6,0.6666666666666666,0.2182178902359924,0.01,0.6733333333333333
mania & mixed depression,flit,0.45454545454545453,0.6250000000000001,-0.3563483225498992,10.0,0.6095238095238095
mania & depression,flit,0.7272727272727273,0.8421052631578948,0.0,100.0,0.5476190476190476
mania & euthymia,flit,0.5833333333333334,0.7368421052631579,0.0,100.0,0.5428571428571429
mixed mania & mixed depression,flit,0.625,0.5714285714285715,0.2581988897471611,0.01,0.6599999999999999
mixed mania & depression,flit,0.375,0.0,0.0,10.0,0.67
mixed mania & euthymia,flit,0.5,0.0,0.0,10.0,0.67
mixed depression & depression,flit,0.3333333333333333,0.25,-0.1889822365046136,100.0,0.5599999999999999
mixed depression & euthymia,flit,0.4,0.25,-0.2182178902359924,0.01,0.6466666666666667
depression & euthymia,flit,0.3,0.3636363636363636,0.16666666666666666,10.0,0.5666666666666667
control & mania,piscine,0.5,0.631578947368421,0.0,1.0,0.6416666666666667
control & mixed mania,piscine,0.45454545454545453,0.5714285714285715,-0.14907119849998599,0.1,0.8380952380952381
control & mixed depression,piscine,0.5384615384615384,0.7000000000000001,0.0,10.0,0.65
control & depression,piscine,0.5833333333333334,0.7058823529411764,0.07559289460184544,0.01,0.6964285714285715
control & euthymia,piscine,0.7692307692307693,0.8695652173913043,-0.12309149097933272,1.0,0.5321428571428571
mania & mixed mania,piscine,0.7,0.8235294117647058,0.0,10.0,0.6666666666666666
mania & mixed depression,piscine,0.7272727272727273,0.8235294117647058,0.4183300132670378,100.0,0.6333333333333333
mania & depression,piscine,0.8181818181818182,0.888888888888889,0.5163977794943222,10.0,0.7095238095238096
mania & euthymia,piscine,0.5833333333333334,0.5454545454545454,0.23904572186687872,10.0,0.7
mixed mania & mixed depression,piscine,0.625,0.0,0.0,1.0,0.6900000000000001
mixed mania & depression,piscine,0.375,0.0,0.0,10.0,0.67
mixed mania & euthymia,piscine,0.5,0.0,0.0,10.0,0.67
mixed depression & depression,piscine,0.5555555555555556,0.6,0.15811388300841897,0.1,0.64
mixed depression & euthymia,piscine,0.5,0.28571428571428575,0.0,100.0,0.5133333333333333
depression & euthymia,piscine,0.2,0.33333333333333337,0.0,100.0,0.56
control & mania,royaume,0.6428571428571429,0.7368421052631579,0.40824829046386296,10.0,0.5944444444444444
control & mixed mania,royaume,0.7272727272727273,0.8421052631578948,0.0,10.0,0.7190476190476189
control & mixed depression,royaume,0.6923076923076923,0.75,0.38575837490522974,0.01,0.6678571428571428
control & depression,royaume,0.75,0.7999999999999999,0.47809144373375745,0.1,0.6892857142857143
control & euthymia,royaume,0.6923076923076923,0.7999999999999999,0.17766726362967536,0.1,0.6285714285714284
mania & mixed mania,royaume,0.7,0.8235294117647058,0.0,10.0,0.6666666666666666
mania & mixed depression,royaume,0.36363636363636365,0.22222222222222224,-0.1336306209562122,1.0,0.6714285714285715
mania & depression,royaume,0.5454545454545454,0.6153846153846154,0.14907119849998599,1.0,0.5809523809523809
mania & euthymia,royaume,0.6666666666666666,0.6,0.4879500364742666,0.01,0.5571428571428572
mixed mania & mixed depression,royaume,0.625,0.0,0.0,10.0,0.61
mixed mania & depression,royaume,0.5,0.5,0.06666666666666667,1.0,0.72
mixed mania & euthymia,royaume,0.5,0.0,0.0,100.0,0.67
mixed depression & depression,royaume,0.3333333333333333,0.5,-0.5,0.1,0.82
mixed depression & euthymia,royaume,0.7,0.7692307692307693,0.5,100.0,0.5133333333333333
depression & euthymia,royaume,0.2,0.33333333333333337,0.0,1.0,0.6333333333333332
control & mania,serpent,0.7142857142857143,0.7777777777777778,0.5222329678670935,0.01,0.6888888888888889
control & mixed mania,serpent,0.7272727272727273,0.8421052631578948,0.0,1.0,0.7476190476190475
control & mixed depression,serpent,0.6153846153846154,0.7058823529411764,0.2253744679276044,1.0,0.6785714285714286
control & depression,serpent,0.75,0.8235294117647058,0.5291502622129182,1.0,0.7250000000000001
control & euthymia,serpent,0.6153846153846154,0.761904761904762,-0.23354968324845687,0.1,0.5321428571428571
mania & mixed mania,serpent,0.7,0.8235294117647058,0.0,100.0,0.6666666666666666
mania & mixed depression,serpent,0.45454545454545453,0.25,0.23904572186687872,0.01,0.5476190476190476
mania & depression,serpent,0.7272727272727273,0.8421052631578948,0.0,100.0,0.44761904761904764
mania & euthymia,serpent,0.4166666666666667,0.588235294117647,-0.37796447300922725,100.0,0.5428571428571429
mixed mania & mixed depression,serpent,0.625,0.0,0.0,1.0,0.5599999999999999
mixed mania & depression,serpent,0.25,0.4000000000000001,-0.6,0.01,0.7
mixed mania & euthymia,serpent,0.625,0.4,0.3779644730092272,10.0,0.6799999999999999
mixed depression & depression,serpent,0.7777777777777778,0.8571428571428571,0.5,0.1,0.7
mixed depression & euthymia,serpent,0.5,0.6153846153846154,0.0,10.0,0.58
depression & euthymia,serpent,0.4,0.4,0.25,10.0,0.56
