Groups,VF,acc,F1,MCC,penalty,C,best cv
mania & depression,fcat,0.6363636363636364,0.7142857142857143,0.2608745973749754,l1,1.0,0.5523809523809524
mania & euthymia,fcat,0.3333333333333333,0.3333333333333333,-0.3142857142857143,l1,1.0,0.5380952380952381
mixed mania & mixed depression,fcat,0.625,0.4,0.14907119849998599,l1,1.0,0.65
mixed mania & depression,fcat,0.375,0.0,0.0,l1,0.01,0.67
mixed mania & euthymia,fcat,0.625,0.4,0.3779644730092272,l2,1.0,0.8
mixed depression & depression,fcat,0.7777777777777778,0.8333333333333334,0.5,l1,1.0,0.6866666666666668
mixed depression & euthymia,fcat,0.5,0.4444444444444445,0.0,l2,0.1,0.7600000000000001
depression & euthymia,fcat,0.5,0.28571428571428575,0.0,l2,10.0,0.5133333333333333
control & mania,flib,0.7142857142857143,0.75,0.4472135954999579,l2,0.1,0.7388888888888889
control & mixed mania,flib,0.7272727272727273,0.8421052631578948,0.0,l2,0.01,0.7190476190476189
control & mixed depression,flib,0.6153846153846154,0.7368421052631579,0.31180478223116176,l2,0.01,0.65
control & depression,flib,0.5833333333333334,0.7368421052631579,0.0,l2,1.0,0.6892857142857143
control & euthymia,flib,0.6923076923076923,0.7999999999999999,0.17766726362967536,l2,1.0,0.6678571428571429
mania & mixed mania,flib,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
mania & mixed depression,flib,0.45454545454545453,0.5714285714285714,-0.17857142857142858,l2,0.1,0.4904761904761904
mania & depression,flib,0.45454545454545453,0.5714285714285715,-0.14907119849998599,l1,10.0,0.7142857142857143
mania & euthymia,flib,0.6666666666666666,0.7142857142857143,0.3142857142857143,l1,100.0,0.6428571428571429
mixed mania & mixed depression,flib,0.625,0.0,0.0,l1,0.01,0.61
mixed mania & depression,flib,0.375,0.0,0.0,l2,0.01,0.77
mixed mania & euthymia,flib,0.5,0.3333333333333333,0.0,l1,10.0,0.79
mixed depression & depression,flib,0.5555555555555556,0.6,0.15811388300841897,l2,1.0,0.6333333333333332
mixed depression & euthymia,flib,0.5,0.4444444444444445,0.0,l1,1.0,0.62
depression & euthymia,flib,0.3,0.3636363636363636,0.16666666666666666,l2,10.0,0.5466666666666666
control & mania,flit,0.5714285714285714,0.7000000000000001,0.2773500981126146,l2,0.01,0.5944444444444444
control & mixed mania,flit,0.7272727272727273,0.8421052631578948,0.0,l1,10.0,0.7238095238095238
control & mixed depression,flit,0.6153846153846154,0.7368421052631579,0.31180478223116176,l2,0.1,0.7035714285714286
control & depression,flit,0.5,0.6666666666666665,-0.2548235957188128,l1,1.0,0.6964285714285715
control & euthymia,flit,0.7692307692307693,0.8695652173913043,-0.12309149097933272,l2,0.01,0.5285714285714286
mania & mixed mania,flit,0.7,0.8235294117647058,0.0,l2,0.1,0.7
mania & mixed depression,flit,0.5454545454545454,0.7058823529411764,-0.23904572186687872,l2,0.01,0.7
mania & depression,flit,0.6363636363636364,0.75,0.08333333333333333,l2,1.0,0.5761904761904761
mania & euthymia,flit,0.5833333333333334,0.7368421052631579,0.0,l2,0.01,0.4809523809523809
mixed mania & mixed depression,flit,0.625,0.0,0.0,l1,0.01,0.61
mixed mania & depression,flit,0.375,0.0,0.0,l1,0.01,0.67
mixed mania & euthymia,flit,0.5,0.0,0.0,l2,0.1,0.7100000000000001
mixed depression & depression,flit,0.3333333333333333,0.0,0.0,l1,0.01,0.52
mixed depression & euthymia,flit,0.5,0.4444444444444445,0.0,l1,100.0,0.6266666666666666
depression & euthymia,flit,0.3,0.3636363636363636,0.16666666666666666,l1,10.0,0.56
control & mania,piscine,0.7142857142857143,0.7142857142857143,0.42857142857142855,l1,1.0,0.7861111111111111
control & mixed mania,piscine,0.7272727272727273,0.823529411764706,0.24056261216234406,l2,10.0,0.8380952380952381
control & mixed depression,piscine,0.5384615384615384,0.7000000000000001,0.0,l2,0.01,0.65
control & depression,piscine,0.5833333333333334,0.7368421052631579,0.0,l2,0.01,0.6678571428571429
control & euthymia,piscine,0.3076923076923077,0.39999999999999997,-0.17766726362967536,l1,10.0,0.5535714285714286
mania & mixed mania,piscine,0.6,0.7142857142857143,0.047619047619047616,l1,0.1,0.7666666666666668
mania & mixed depression,piscine,0.8181818181818182,0.8750000000000001,0.6236095644623235,l1,1.0,0.6047619047619046
mania & depression,piscine,0.7272727272727273,0.823529411764706,0.24056261216234406,l2,1.0,0.7428571428571429
mania & euthymia,piscine,0.6666666666666666,0.6666666666666666,0.37142857142857144,l2,0.1,0.6714285714285715
mixed mania & mixed depression,piscine,0.75,0.5,0.4879500364742666,l2,0.1,0.6900000000000001
mixed mania & depression,piscine,0.625,0.5714285714285715,0.4472135954999579,l1,10.0,0.76
mixed mania & euthymia,piscine,0.625,0.4,0.3779644730092272,l1,10.0,0.8699999999999999
mixed depression & depression,piscine,0.4444444444444444,0.4444444444444444,0.0,l2,1.0,0.5933333333333334
mixed depression & euthymia,piscine,0.5,0.5454545454545454,0.0,l2,10.0,0.6466666666666667
depression & euthymia,piscine,0.5,0.4444444444444445,0.3273268353539886,l1,1.0,0.44666666666666666
control & mania,royaume,0.6428571428571429,0.7368421052631579,0.40824829046386296,l2,1.0,0.6694444444444445
control & mixed mania,royaume,0.7272727272727273,0.8421052631578948,0.0,l2,0.01,0.7190476190476189
control & mixed depression,royaume,0.5384615384615384,0.6666666666666665,0.03289758474798845,l2,1.0,0.7
control & depression,royaume,0.5,0.6666666666666665,-0.2548235957188128,l2,1.0,0.7500000000000001
control & euthymia,royaume,0.6923076923076923,0.8181818181818182,-0.18181818181818182,l2,0.1,0.7035714285714285
mania & mixed mania,royaume,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
mania & mixed depression,royaume,0.2727272727272727,0.2,-0.38575837490522974,l1,100.0,0.7952380952380953
mania & depression,royaume,0.8181818181818182,0.888888888888889,0.5163977794943222,l2,0.01,0.5857142857142857
mania & euthymia,royaume,0.5833333333333334,0.6666666666666666,0.11952286093343936,l1,1.0,0.6428571428571429
mixed mania & mixed depression,royaume,0.625,0.0,0.0,l1,0.01,0.61
mixed mania & depression,royaume,0.375,0.28571428571428575,-0.14907119849998599,l1,1.0,0.77
mixed mania & euthymia,royaume,0.5,0.0,0.0,l1,0.01,0.67
mixed depression & depression,royaume,0.5555555555555556,0.7142857142857143,-0.25,l2,0.01,0.5933333333333333
mixed depression & euthymia,royaume,0.6,0.6,0.2,l1,10.0,0.6799999999999999
depression & euthymia,royaume,0.8,0.6666666666666666,0.6123724356957946,l1,1.0,0.6666666666666666
control & mania,serpent,0.6428571428571429,0.6666666666666666,0.28867513459481287,l1,1.0,0.7611111111111111
control & mixed mania,serpent,0.7272727272727273,0.8421052631578948,0.0,l2,1.0,0.7523809523809524
control & mixed depression,serpent,0.46153846153846156,0.36363636363636365,-0.05143444998736397,l1,1.0,0.7571428571428572
control & depression,serpent,0.5833333333333334,0.7368421052631579,0.0,l2,0.01,0.6392857142857142
control & euthymia,serpent,0.8461538461538461,0.9166666666666666,0.0,l2,0.01,0.5285714285714285
mania & mixed mania,serpent,0.7,0.8235294117647058,0.0,l2,0.01,0.6266666666666666
mania & mixed depression,serpent,0.5454545454545454,0.5454545454545454,0.17857142857142858,l1,1.0,0.5380952380952381
mania & depression,serpent,0.45454545454545453,0.5,0.03857583749052298,l2,10.0,0.4904761904761905
mania & euthymia,serpent,0.4166666666666667,0.5333333333333333,-0.23904572186687872,l2,0.01,0.5428571428571429
mixed mania & mixed depression,serpent,0.625,0.0,0.0,l1,0.01,0.61
mixed mania & depression,serpent,0.25,0.25,-0.4666666666666667,l2,0.1,0.72
mixed mania & euthymia,serpent,0.625,0.4,0.3779644730092272,l1,10.0,0.71
mixed depression & depression,serpent,0.7777777777777778,0.8,0.6324555320336759,l2,1.0,0.7066666666666667
mixed depression & euthymia,serpent,0.5,0.0,0.0,l1,0.01,0.52
depression & euthymia,serpent,0.5,0.4444444444444445,0.3273268353539886,l1,1.0,0.5933333333333333
